ExecutionId,CycleName,FolderName,Issue Key,Test Summary,Project,Component,Version,Priority,Executed By,Executed On,ExecutionStatus,ExecutionDefects,CreationDate,Assigned To,Custom Fields,Work Flow Status,Total Execution Time,Total Logged Time,StepId,OrderId,Step,Test Data,Expected Result,Step Result,Comments,Step Custom Fields
b80bdc22-a730-4a54-8c1f-5539c41f30fe,Ad hoc,,TEAM-42,Checking Login Function,Team Managers,,Version1.0,Medium,shikha Ramdeo,8/23/2022 0:00,PASS,,8/22/2022 23:59,,,,,,b52d54fa-515f-468f-8007-2f07b0a25860,1,Open the Browser,Chrome,Browser should Open,PASS,,
b80bdc22-a730-4a54-8c1f-5539c41f30fe,Ad hoc,,TEAM-42,Checking Login Function,Team Managers,,Version1.0,Medium,shikha Ramdeo,8/23/2022 0:00,PASS,,8/22/2022 23:59,,,,,,7e82e494-b40c-40f7-a816-78fc9a94fd50,2,Enter The URL,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,It should Navigate to the Orange-HRM page,PASS,,
b80bdc22-a730-4a54-8c1f-5539c41f30fe,Ad hoc,,TEAM-42,Checking Login Function,Team Managers,,Version1.0,Medium,shikha Ramdeo,8/23/2022 0:00,PASS,,8/22/2022 23:59,,,,,,6e093568-899c-4d06-b0dc-326035dff3b1,3,Click on Search Space and Type  The input,Jira,It should Accept the Input Which is Given,PASS,,
b80bdc22-a730-4a54-8c1f-5539c41f30fe,Ad hoc,,TEAM-42,Checking Login Function,Team Managers,,Version1.0,Medium,shikha Ramdeo,8/23/2022 0:00,PASS,,8/22/2022 23:59,,,,,,ab92808f-7972-4e9c-80ac-346dd6cca818,4,Click on the Search Button/Click Enter Key on Keyboard,,Enter Key and Navigate to web browser with Jira links,PASS,,
